Task ID,Phase,Task Name,Description,Suggested Owner (Role),Priority,Estimate,Dependencies,Related Module/Section,Status
P1-01,階段一：資料盤點,盤點 POS 系統資料現況與欄位對照,確認 POS 系統可匯出之銷售明細欄位是否涵蓋規格書3.1.1所列項目，標記缺漏,資料工程,High,1週,,規格書3.1.1,To Do
P1-02,階段一：資料盤點,盤點訂位系統資料現況,確認訂位系統是否記錄訂位人數、取消時間、no-show狀態等欄位,資料工程,High,1週,,規格書3.1.2,To Do
P1-03,階段一：資料盤點,盤點供應商主檔與報價資料,確認供應商系統是否有MOQ、前置時間、帳期等欄位，若無則規劃補登流程,採購,High,1週,,規格書3.1.5,To Do
P1-04,階段一：資料盤點,盤點庫存/進銷存系統資料,確認庫存異動、報廢紀錄之欄位完整度,資料工程/店務,High,1週,,規格書3.1.6,To Do
P1-05,階段一：資料盤點,盤點各分店 BOM（品項配方表）完整度,確認每個銷售品項是否都有對應之原物料配方表，規劃補齊計畫,供應鏈/店務,High,2週,,規格書4.5,To Do
P1-06,階段一：資料盤點,制定跨店資料標準化規範,統一各分店 SKU 代碼、單位、店號等命名規則,資料工程,High,1週,"P1-01,P1-04",規格書3.1,To Do
P1-07,階段一：資料盤點,建立資料倉儲 Dim/Fact 表結構,依規格書3.2建立 Fact_Sales/Fact_Inventory/Fact_Reservation 等表,資料工程,High,2週,P1-06,規格書3.2,To Do
P1-08,階段一：資料盤點,建立 ETL 資料管線,串接 POS、訂位、天氣API、行事曆、供應商系統至資料倉儲,資料工程,High,3週,P1-07,規格書二/三,To Do
P1-09,階段一：資料盤點,取得天氣API與行事曆資料來源,確認氣象局或第三方天氣API串接方式；整理國定假日與連假行事曆,資料工程,Medium,1週,,規格書3.1.3/3.1.4,To Do
P1-10,階段一：資料盤點,選定試點分店,依規模、資料完整度、店長配合度選定1-3家試點分店,PM/店務,High,1週,,企劃書階段一,To Do
P1-11,階段一：資料盤點,建立資料品質監控儀表板,監控各資料來源每日到位率與異常缺值比例,資料工程,Medium,2週,P1-08,-,To Do
P2-01,階段二：基線模型,建立需求預測特徵工程 pipeline,依規格書4.1計算 lag/rolling/calendar/promo 等特徵,資料科學,High,2週,P1-08,規格書4.1,To Do
P2-02,階段二：基線模型,整合訂位轉換特徵（expected_traffic）,實作訂位人數×(1-取消率-no-show率)+未訂位客流估計公式,資料科學,High,1週,P2-01,規格書4.1.3,To Do
P2-03,階段二：基線模型,建立基線預測模型（移動平均/指數平滑）,作為快速上線之對照基準,資料科學,Medium,1週,P2-01,規格書4.1,To Do
P2-04,階段二：基線模型,訓練主力預測模型（XGBoost/LightGBM分位數迴歸）,產出P10/P50/P90三分位預測,資料科學,High,3週,P2-02,規格書4.1,To Do
P2-05,階段二：基線模型,建立模型評估報告（WMAPE/MAPE/覆蓋率）,與人工經驗叫貨基準比對準確度,資料科學,High,1週,P2-04,規格書4.1評估標準,To Do
P2-06,階段二：基線模型,建立模型版本控管（model registry）雛型,記錄model_version與訓練資料窗口，供後續追溯,工程,Medium,2週,P2-04,規格書六(MLOps),To Do
P2-07,階段二：基線模型,人工複核機制設計,定義預測結果人工比對SOP，蒐集店長回饋,PM/店務,Medium,1週,P2-05,-,To Do
P3-01,階段三：試點上線,開發安全庫存計算模組,依規格書4.3公式計算動態安全庫存與ABC/XYZ分類,資料科學/工程,High,2週,P2-04,規格書4.3,To Do
P3-02,階段三：試點上線,開發叫貨建議引擎,依規格書4.2邏輯計算建議叫貨量與例外標記,工程,High,3週,P3-01,規格書4.2,To Do
P3-03,階段三：試點上線,開發店長端叫貨確認介面,App/Web介面供店長確認、調整、送出叫貨單,前端工程,High,3週,P3-02,-,To Do
P3-04,階段三：試點上線,建立例外管理與人工複核流程,定義波動超過門檻時的通知與覆核SOP,PM/店務,Medium,1週,P3-02,規格書4.2例外處理,To Do
P3-05,階段三：試點上線,試點分店上線與教育訓練,對試點店長說明系統操作與叫貨邏輯,PM/店務,High,1週,P3-03,企劃書階段三,To Do
P3-06,階段三：試點上線,建立效益追蹤儀表板,追蹤試點期間食材成本、報廢率、缺貨次數等指標,資料工程,High,2週,P3-05,企劃書第七節ROI,To Do
P3-07,階段三：試點上線,試點期間每週效益覆核會議,依實際數據校準模型與流程,PM,Medium,持續,P3-06,-,To Do
P4-01,階段四：全店推廣,全店資料串接擴展,將ETL管線與模型服務擴展至全部分店,資料工程/工程,High,3週,P3-07,-,To Do
P4-02,階段四：全店推廣,開發供應商評分模型,依規格書4.4計算交期、品質、報價、帳期加權評分,資料科學,High,2週,P1-03,規格書4.4,To Do
P4-03,階段四：全店推廣,開發跨店聯合採購最適化模型,以線性規劃計算最低總成本採購組合,資料科學,Medium,3週,P4-02,規格書4.4,To Do
P4-04,階段四：全店推廣,開發異常偵測與耗損管理模組,依規格書4.5比對理論用量與實際用量，建立Isolation Forest模型,資料科學,High,3週,P1-05,規格書4.5,To Do
P4-05,階段四：全店推廣,開發總部管理儀表板,彙總供應商評分、異常警示、各店效益指標,前端工程,High,3週,"P4-02,P4-04",-,To Do
P4-06,階段四：全店推廣,建立API介面,依規格書第五節開放預測、叫貨、供應商、異常等API供內部系統串接,後端工程,High,2週,"P3-02,P4-02,P4-04",規格書五,To Do
P4-07,階段四：全店推廣,全店教育訓練與變革管理溝通,對所有分店店長說明系統上線與操作方式,PM/HR,High,2週,P4-05,-,To Do
P4-08,階段四：全店推廣,全店上線與監控,正式上線，密切監控系統穩定度與準確度,PM/工程,High,2週,"P4-06,P4-07",-,To Do
P5-01,階段五：持續優化,建立MLOps監控機制,每週監控WMAPE趨勢，設定飄移告警與重訓排程,工程/資料科學,High,2週,P4-08,規格書六,To Do
P5-02,階段五：持續優化,季度供應商評分覆核,採購團隊覆核評分合理性，調整權重,採購/PM,Medium,持續,P4-02,規格書4.4評估標準,To Do
P5-03,階段五：持續優化,依試點與全店資料重新校準ROI指標,更新企劃書第七節效益數字，作為後續預算依據,PM,Medium,持續,P4-08,企劃書第七節,To Do
P5-04,階段五：持續優化,（選配）開發動態定價與菜單工程模組,依規格書4.6建立需求彈性模型,資料科學,Low,4週,P4-08,規格書4.6,To Do
P5-05,階段五：持續優化,（進階）評估強化學習動態叫貨策略,"資料量足夠後評估以RL取代規則式(s,S)策略",資料科學,Low,持續,P5-01,規格書4.2演算法基礎,To Do
